congress;district;state;party;name;dwnom1;dwnom2
 80; 0;USA;Democrat;TRUMAN;-0,276; 0,016
 80; 1;ALABAMA;Democrat;BOYKIN  F.;-0,026; 0,796
 80; 2;ALABAMA;Democrat;GRANT  G.;-0,042; 0,999
 80; 3;ALABAMA;Democrat;ANDREWS  G.;-0,008; 1,005
 80; 4;ALABAMA;Democrat;HOBBS  S.;-0,082; 1,066
 80; 5;ALABAMA;Democrat;RAINS  A.;-0,170; 0,870
 80; 6;ALABAMA;Democrat;JARMAN  P.;-0,124; 0,990
 80; 7;ALABAMA;Democrat;MANASCO  C.;-0,031; 0,892
 80; 8;ALABAMA;Democrat;JONES  R.;-0,225; 0,888
 80; 9;ALABAMA;Democrat;BATTLE  L.;-0,084; 0,842
 80;98;ARIZONA;Democrat;HARLESS  R.;-0,171; 0,096
 80;98;ARIZONA;Democrat;MURDOCK  J.;-0,242; 0,380
 80; 1;ARKANSA;Democrat;GATHINGS; 0,080; 0,927
 80; 2;ARKANSA;Democrat;MILLS  W.;-0,108; 0,907
 80; 3;ARKANSA;Democrat;TRIMBLE  J.;-0,219; 0,920
 80; 4;ARKANSA;Democrat;CRAVENS  F.; 0,149; 1,046
 80; 5;ARKANSA;Democrat;HAYS  B.;-0,169; 0,727
 80; 6;ARKANSA;Democrat;NORRELL  W.; 0,051; 1,017
 80; 7;ARKANSA;Democrat;HARRIS  O.;-0,051; 0,902
 80; 1;CALIFOR;Democrat;LEA  C.;-0,040; 0,383
 80; 2;CALIFOR;Democrat;ENGLE  C.;-0,069; 0,113
 80; 3;CALIFOR;Republican;JOHNSON  L.; 0,114;-0,250
 80; 4;CALIFOR;Democrat;HAVENNER;-0,354;-0,197
 80; 5;CALIFOR;Republican;WELCH  R.;-0,158;-0,976
 80; 6;CALIFOR;Democrat;MILLER  G.;-0,397; 0,212
 80; 7;CALIFOR;Republican;ALLEN  J.; 0,253;-0,342
 80; 8;CALIFOR;Republican;ANDERSON; 0,250;-0,051
 80; 9;CALIFOR;Republican;GEARHART; 0,215;-0,106
 80;10;CALIFOR;Democrat;ELLIOTT  A.; 0,149; 0,405
 80;11;CALIFOR;Republican;BRAMBLETT; 0,294;-0,243
 80;12;CALIFOR;Republican;NIXON  R.; 0,174;-0,346
 80;13;CALIFOR;Republican;POULSON  N.; 0,195;-0,484
 80;14;CALIFOR;Democrat;DOUGLAS  H.;-0,528;-0,217
 80;15;CALIFOR;Republican;MCDONOUGH; 0,122;-0,458
 80;16;CALIFOR;Republican;JACKSON  D.; 0,218;-0,349
 80;17;CALIFOR;Democrat;KING  C.;-0,375; 0,098
 80;18;CALIFOR;Republican;BRADLEY  W.; 0,242;-0,426
 80;19;CALIFOR;Democrat;HOLIFIELD;-0,422; 0,244
 80;20;CALIFOR;Republican;HINSHAW  C.; 0,161;-0,322
